category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
Metabolism,Amino acid metabolism,mmu00350,Tyrosine metabolism - Mus musculus (house mouse),2/359,20/5932,0.1,1.65236768802228,0.741663475702357,0.343523957609432,0.99999922275763,0.940878864959414,67689/621603,2,Downregulated advanced-passage signature
Human Diseases,Infectious disease: bacterial,mmu05150,Staphylococcus aureus infection - Mus musculus (house mouse),2/359,20/5932,0.1,1.65236768802228,0.741663475702357,0.343523957609432,0.99999922275763,0.940878864959414,16415/16669,2,Downregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04970,Salivary secretion - Mus musculus (house mouse),4/359,49/5932,0.0816326530612245,1.34887158205901,0.622344527904116,0.344614599903195,0.99999922275763,0.940878864959414,98660/67972/11554/19091,4,Downregulated advanced-passage signature
Human Diseases,Substance dependence,mmu05031,Amphetamine addiction - Mus musculus (house mouse),4/359,49/5932,0.0816326530612245,1.34887158205901,0.622344527904116,0.344614599903195,0.99999922275763,0.940878864959414,14799/12322/231991/14811,4,Downregulated advanced-passage signature
Metabolism,Nucleotide metabolism,mmu00230,Purine metabolism - Mus musculus (house mouse),7/359,95/5932,0.0736842105263158,1.21753408591116,0.542451529381071,0.351762527313167,0.99999922275763,0.940878864959414,29863/18574/23984/18160/11639/215446/14544,7,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04014,Ras signaling pathway - Mus musculus (house mouse),12/359,173/5932,0.069364161849711,1.1461509974721,0.495128540381647,0.354621081923578,0.99999922275763,0.940878864959414,16334/85031/21687/14176/14254/21802/71785/66066/234779/14710/66922/14811,12,Downregulated advanced-passage signature
Metabolism,Carbohydrate metabolism,mmu00500,Starch and sucrose metabolism - Mus musculus (house mouse),2/359,21/5932,0.0952380952380952,1.57368351240218,0.668371927952227,0.365938355724915,0.99999922275763,0.940878864959414,19309/232714,2,Downregulated advanced-passage signature
Human Diseases,Infectious disease: viral,mmu05160,Hepatitis C - Mus musculus (house mouse),8/359,113/5932,0.0707964601769912,1.16981783222817,0.462556726249313,0.376119745053662,0.99999922275763,0.940878864959414,242705/58185/12737/17858/72930/12571/12738/24014,8,Downregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04971,Gastric acid secretion - Mus musculus (house mouse),4/359,52/5932,0.0769230769230769,1.27105206770945,0.498232895532605,0.386721476360308,0.99999922275763,0.940878864959414,98660/12322/208890/238564,4,Downregulated advanced-passage signature
Human Diseases,Infectious disease: bacterial,mmu05134,Legionellosis - Mus musculus (house mouse),4/359,52/5932,0.0769230769230769,1.27105206770945,0.498232895532605,0.386721476360308,0.99999922275763,0.940878864959414,16415/17940/16173/193740,4,Downregulated advanced-passage signature
