ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr
ENSMUSG00000040181,Fmo1,higher,1.63907574719048,0.00000000000000000000000000000000000000000337940786337538
ENSMUSG00000044337,Ackr3,lower,-1.66032293701916,0.0000000000000000000000000000000000000000034406496926632
ENSMUSG00000071856,Mcc,higher,1.47511491952563,0.00000000000000000000000000000000000000000452567716222751
ENSMUSG00000025185,Loxl4,higher,1.49841254192262,0.00000000000000000000000000000000000000000521430588520414
ENSMUSG00000000567,Sox9,lower,-1.22961505542697,0.00000000000000000000000000000000000000000595823255937498
ENSMUSG00000079018,Ly6c1,lower,-1.63491093028004,0.00000000000000000000000000000000000000000728569925532743
ENSMUSG00000102692,Dchs2,higher,2.89133825012724,0.00000000000000000000000000000000000000000830981811854045
ENSMUSG00000079685,Ulbp1,lower,-1.09811238458824,0.000000000000000000000000000000000000000010177042054771
ENSMUSG00000021338,Carmil1,higher,1.16675076245889,0.0000000000000000000000000000000000000000135034543568405
ENSMUSG00000043259,Fam13c,lower,-1.74423190734297,0.0000000000000000000000000000000000000000153146555557059
ENSMUSG00000041261,Car8,higher,1.71541892503385,0.0000000000000000000000000000000000000000155515227003064
ENSMUSG00000037379,Spon2,higher,1.66947309617138,0.0000000000000000000000000000000000000000213075264782249
ENSMUSG00000023886,Smoc2,higher,1.9151393197076,0.0000000000000000000000000000000000000000237497070087717
ENSMUSG00000020105,Lrig3,higher,1.18702524449989,0.0000000000000000000000000000000000000000359708847805876
ENSMUSG00000053007,Creb5,lower,-1.50393063502171,0.0000000000000000000000000000000000000000376620402991443
ENSMUSG00000071713,Csf2rb,higher,3.38020415275203,0.0000000000000000000000000000000000000000413469340007564
ENSMUSG00000018983,E2f2,lower,-1.51215610386385,0.0000000000000000000000000000000000000000458555128464046
ENSMUSG00000023868,Pde10a,lower,-2.10210782162063,0.0000000000000000000000000000000000000000491135468814852
ENSMUSG00000048482,Bdnf,higher,1.35801104464702,0.0000000000000000000000000000000000000000652851546410389
ENSMUSG00000037892,Pcdh18,higher,1.35921878861301,0.000000000000000000000000000000000000000068268252903103
ENSMUSG00000092035,Peg10,higher,2.15644986607181,0.0000000000000000000000000000000000000000862422506393916
ENSMUSG00000063873,Slc24a3,higher,2.24698745323075,0.0000000000000000000000000000000000000000872446916520766
ENSMUSG00000021186,Fbln5,higher,1.39039742998835,0.0000000000000000000000000000000000000000887785400072161
ENSMUSG00000022883,Robo1,lower,-1.35781224419539,0.000000000000000000000000000000000000000138948501435737
ENSMUSG00000019539,Rcn3,higher,1.28439929204602,0.000000000000000000000000000000000000000192280446636078
ENSMUSG00000074934,Grem1,lower,-1.09498156749541,0.000000000000000000000000000000000000000233573567080227
ENSMUSG00000031613,Hpgd,higher,3.41168312152864,0.000000000000000000000000000000000000000300786229174498
ENSMUSG00000058254,Tspan7,lower,-2.21921852810685,0.000000000000000000000000000000000000000393959637666069
ENSMUSG00000041117,Ccdc8,lower,-1.18703052322177,0.000000000000000000000000000000000000000458010278906351
ENSMUSG00000022479,Vdr,higher,1.07810057286793,0.000000000000000000000000000000000000000657738470212746
ENSMUSG00000007989,Fzd3,lower,-1.27568415492221,0.000000000000000000000000000000000000000693107822229546
ENSMUSG00000042363,Lgalsl,higher,1.68264634981066,0.000000000000000000000000000000000000000786927153660213
ENSMUSG00000019846,Lama4,higher,3.24892504294795,0.000000000000000000000000000000000000000822221519521364
ENSMUSG00000027330,Cdc25b,lower,-1.0340510125418,0.00000000000000000000000000000000000000115991853519134
ENSMUSG00000036192,Rorb,lower,-2.04929375665026,0.00000000000000000000000000000000000000128249581710978
ENSMUSG00000025795,Rassf3,lower,-1.1759775604481,0.00000000000000000000000000000000000000195848906555235
ENSMUSG00000049134,Nrap,lower,-2.17907569744559,0.0000000000000000000000000000000000000020712918214832
ENSMUSG00000021306,Gpr137b,lower,-1.0201909288015,0.00000000000000000000000000000000000000234415530961941
ENSMUSG00000054293,P2ry10b,higher,1.66105341680197,0.00000000000000000000000000000000000000337352969457492
ENSMUSG00000003228,Grk5,higher,1.19964422405324,0.00000000000000000000000000000000000000344909998224204
ENSMUSG00000029163,Emilin1,higher,1.97142412253044,0.00000000000000000000000000000000000000435755919238949
ENSMUSG00000025026,Add3,lower,-1.42240027012751,0.00000000000000000000000000000000000000540580893056815
ENSMUSG00000021728,Emb,higher,1.16574187663204,0.00000000000000000000000000000000000000564878176501072
ENSMUSG00000031543,Ank1,lower,-1.36406936616753,0.00000000000000000000000000000000000000578380105966956
ENSMUSG00000032024,Clmp,lower,-1.70275196352393,0.0000000000000000000000000000000000000071393041458755
ENSMUSG00000026062,Slc9a2,lower,-2.06616051481756,0.0000000000000000000000000000000000000100155028028203
ENSMUSG00000018417,Myo1b,lower,-1.30845849125238,0.0000000000000000000000000000000000000100855623964322
ENSMUSG00000030849,Fgfr2,higher,2.66957016049832,0.0000000000000000000000000000000000000112760266944519
ENSMUSG00000000223,Drp2,lower,-1.02833695932289,0.0000000000000000000000000000000000000122319992679413
ENSMUSG00000026594,Ralgps2,lower,-1.04353968721648,0.0000000000000000000000000000000000000158813348821888
ENSMUSG00000024190,Dusp1,lower,-1.13992240774091,0.0000000000000000000000000000000000000217962623328949
ENSMUSG00000024778,Fas,higher,2.34060381021935,0.0000000000000000000000000000000000000219623258033019
